fecha_hecho,delito,sexo,edad,colonia_catalogo,alcaldia_catalogo,latitud,longitud,anio_hecho,mes_hecho,dia_hecho,indice_alcaldia,,
23/06/2016,USURPACIÓN DE IDENTIDAD,0,57,Santa Cecilia,Tláhuac,19.27840813,-99.00745497,2016,6,23,12.00,,
30/06/2016,USURPACIÓN DE IDENTIDAD,0,51,Guadalupe Del Moral,Iztapalapa,19.36953395,-99.07074541,2016,6,30,7.00,,
04/07/2016,USURPACIÓN DE IDENTIDAD,0,59,Pedregal De Carrasco,Coyoacán,19.3057,-99.16488,2016,7,4,2.00,,
06/07/2016,USURPACIÓN DE IDENTIDAD,1,38,Roma Norte,Cuauhtémoc,19.42067529,-99.16781053,2016,7,6,4.00,,
06/08/2016,USURPACIÓN DE IDENTIDAD,1,30,Pedregal De Santa Ursula,Coyoacán,19.3092797,-99.15944735,2016,8,6,2.00,,
19/09/2016,USURPACIÓN DE IDENTIDAD,0,28,Chalma De Guadalupe,Gustavo A. Madero,19.5568188,-99.15314719,2016,9,19,5.00,,
23/09/2016,USURPACIÓN DE IDENTIDAD,1,40,Siete Maravillas,Gustavo A. Madero,19.51059,-99.14046,2016,9,23,5.00,,
01/10/2016,USURPACIÓN DE IDENTIDAD,1,88,Pueblo Tetelpan,Álvaro Obregón,19.34105,-99.23315,2016,10,1,15.00,,
01/10/2016,USURPACIÓN DE IDENTIDAD,1,36,Hipodromo,Cuauhtémoc,19.40982,-99.17345,2016,10,1,4.00,,
05/10/2016,USURPACIÓN DE IDENTIDAD,1,51,Mixcoac,Benito Juárez,19.37261331,-99.19075747,2016,10,5,1.00,,
26/10/2016,USURPACIÓN DE IDENTIDAD,0,50,San Jeronimo Aculco,La Magdalena Contreras,19.31741803,-99.22880781,2016,10,26,8.00,,
01/11/2016,USURPACIÓN DE IDENTIDAD,0,36,Pueblo Santa Lucia,Álvaro Obregón,19.36159646,-99.2533569,2016,11,1,15.00,,
03/11/2016,USURPACIÓN DE IDENTIDAD,1,39,Villa Gustavo A Madero,Gustavo A. Madero,19.4825056,-99.1143574,2016,11,3,5.00,,
04/11/2016,USURPACIÓN DE IDENTIDAD,1,32,Pedregal De Santa Ursula,Coyoacán,19.30917207,-99.15945379,2016,11,4,2.00,,
07/11/2016,USURPACIÓN DE IDENTIDAD,0,33,El Charco,Tlalpan,19.23294687,-99.19743937,2016,11,7,11.00,,
01/12/2016,USURPACIÓN DE IDENTIDAD,1,32,Narvarte Poniente,Benito Juárez,19.38876587,-99.15823082,2016,12,1,1.00,,
12/12/2016,USURPACIÓN DE IDENTIDAD,0,43,Buenavista,Cuauhtémoc,19.44624896,-99.1525349,2016,12,12,4.00,,
15/12/2016,USURPACIÓN DE IDENTIDAD,1,52,Gabriel Ramos Millan,Iztacalco,19.39361751,-99.10017921,2016,12,15,6.00,,
01/01/2017,USURPACIÓN DE IDENTIDAD,1,43,Barrio Santa Ana Poniente,Tláhuac,19.30265826,-99.04899475,2017,1,1,12.00,,
01/01/2017,USURPACIÓN DE IDENTIDAD,1,46,San Jose Insurgentes,Benito Juárez,19.36542445,-99.18717988,2017,1,1,1.00,,
01/01/2017,USURPACIÓN DE IDENTIDAD,1,43,Cristo Rey,Álvaro Obregón,19.3904882,-99.2006238,2017,1,1,15.00,,
15/01/2017,USURPACIÓN DE IDENTIDAD,1,40,7 De Julio,Venustiano Carranza,19.42746,-99.11042,2017,1,15,13.00,,
25/01/2017,USURPACIÓN DE IDENTIDAD,1,71,Veronica Anzures,Miguel Hidalgo,19.4384,-99.17766,2017,1,25,9.00,,
04/02/2017,USURPACIÓN DE IDENTIDAD,1,32,Romero De Terreros,Coyoacán,19.34685328,-99.1804464,2017,2,4,2.00,,
15/02/2017,USURPACIÓN DE IDENTIDAD,1,54,San Miguel 8va Ampliacion,Iztapalapa,19.35166839,-99.07951507,2017,2,15,7.00,,
20/02/2017,USURPACIÓN DE IDENTIDAD,1,30,Credito Constructor,Benito Juárez,19.36431,-99.18189,2017,2,20,1.00,,
23/03/2017,USURPACIÓN DE IDENTIDAD,1,67,Santa Cruz Atoyac,Benito Juárez,19.36842707,-99.16165441,2017,3,23,1.00,,
26/03/2017,USURPACIÓN DE IDENTIDAD,0,24,Santa Cruz Atoyac,Benito Juárez,19.37192,-99.16393,2017,3,26,1.00,,
27/03/2017,USURPACIÓN DE IDENTIDAD,1,54,San Miguel 8va Ampliacion,Iztapalapa,19.35149884,-99.07934994,2017,3,27,7.00,,
01/04/2017,USURPACIÓN DE IDENTIDAD,1,36,Guerrero,Cuauhtémoc,19.44740231,-99.14270505,2017,4,1,4.00,,
13/04/2017,USURPACIÓN DE IDENTIDAD,0,41,Granjas Mexico,Iztacalco,19.39727,-99.10227,2017,4,13,6.00,,
20/04/2017,USURPACIÓN DE IDENTIDAD,1,40,Lomas De Chapultepec Iii Seccion,Miguel Hidalgo,19.43164255,-99.21112552,2017,4,20,9.00,,
27/04/2017,USURPACIÓN DE IDENTIDAD,0,66,Juarez,Cuauhtémoc,19.42300875,-99.17503349,2017,4,27,4.00,,
01/05/2017,USURPACIÓN DE IDENTIDAD,1,32,Ampliacion Granada,Miguel Hidalgo,19.44186544,-99.20141671,2017,5,1,9.00,,
10/05/2017,USURPACIÓN DE IDENTIDAD,1,30,La Nopalera,Tláhuac,19.30140018,-99.05486785,2017,5,10,12.00,,
